apiAuditId,jsonPath,rawType,elementType,requiredObserved,presenceCount,sampleCount,nullCount,emptyCount,exampleRedacted,valueRangeOrEnum,authConditions,resourceConditions,firstSeenCase,lastSeenCase,semanticName,semanticConfidence,sourceEvidence,normalizedEntity,normalizedField,conflictId
ncm.top_list,playlist.tracks[].cd,string,,observed,3,3,0,0,1,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.tracks[].cf,string,,observed,3,3,0,0,,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.tracks[].copyright,number,,observed,3,3,0,0,1,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.tracks[].cp,number,,observed,3,3,0,0,7002,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.tracks[].crbt,null,,observed,3,3,3,0,,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.tracks[].displayReason,null,,observed,3,3,3,0,,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.tracks[].displayTags,null,,observed,3,3,3,0,,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.tracks[].djId,number,,observed,3,3,0,0,0,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.tracks[].dt,number,,observed,3,3,0,0,289066,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.tracks[].entertainmentTags,null,,observed,3,3,3,0,,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.tracks[].fee,number,,observed,3,3,0,0,1,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.tracks[].ftype,number,,observed,3,3,0,0,0,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.tracks[].h.br,number,,observed,3,3,0,0,320001,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.tracks[].h.fid,number,,observed,3,3,0,0,0,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.tracks[].h.size,number,,observed,3,3,0,0,11564974,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.tracks[].h.sr,number,,observed,3,3,0,0,44100,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.tracks[].h.vd,number,,observed,3,3,0,0,-40869,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.tracks[].hr,null,,observed,3,3,3,0,,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.tracks[].id,number,,observed,3,3,0,0,287063,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.tracks[].l.br,number,,observed,3,3,0,0,128001,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.tracks[].l.fid,number,,observed,3,3,0,0,0,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.tracks[].l.size,number,,observed,3,3,0,0,4626016,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.tracks[].l.sr,number,,observed,3,3,0,0,44100,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.tracks[].l.vd,number,,observed,3,3,0,0,-36730,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.tracks[].m.br,number,,observed,3,3,0,0,192001,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.tracks[].m.fid,number,,observed,3,3,0,0,0,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.tracks[].m.size,number,,observed,3,3,0,0,6939002,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.tracks[].m.sr,number,,observed,3,3,0,0,44100,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.tracks[].m.vd,number,,observed,3,3,0,0,-38326,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.tracks[].mainTitle,null,,observed,3,3,3,0,,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.tracks[].mark,number,,observed,3,3,0,0,17179877376,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.tracks[].markTags,array<unknown>,,observed,3,3,0,3,undefined,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.tracks[].mst,number,,observed,3,3,0,0,9,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.tracks[].mv,number,,observed,3,3,0,0,5484821,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.tracks[].name,string,,observed,3,3,0,0,我怀念的,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.tracks[].no,number,,observed,3,3,0,0,5,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.tracks[].noCopyrightRcmd,null,,observed,3,3,3,0,,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.tracks[].originCoverType,number,,observed,3,3,0,0,1,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.tracks[].originSongSimpleData,null,,observed,3,3,3,0,,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.tracks[].pop,number,,observed,3,3,0,0,100,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.tracks[].pst,number,,observed,3,3,0,0,0,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.tracks[].pubDJProgramData,null,,observed,3,3,3,0,,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.tracks[].publishTime,number,,observed,3,3,0,0,1406822400000,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.tracks[].resourceState,boolean,,observed,3,3,0,0,true,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.tracks[].rt,string,,observed,3,3,0,0,600902000005652593,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.tracks[].rtUrl,null,,observed,3,3,3,0,,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
ncm.top_list,playlist.tracks[].rtUrls,array<unknown>,,observed,3,3,0,3,undefined,,AUTH_NONE,,ncm.top_list.id.none.002,ncm.top_list.id.none.002,,unknown,runtime,,,
